,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,undPriceAsk,undPriceBid,undPriceMid,undPriceLondonTime,undPriceTimestamp
0,PLTR210115C00003000,2021-01-08 18:54:00,3.0,21.76,22.6,22.75,0.0,0.0,23.0,4,1.0000000000000003e-05,True,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
1,PLTR210115C00004000,2021-01-11 18:51:49,4.0,22.15,21.6,21.75,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
2,PLTR210115C00005000,2021-01-08 18:23:25,5.0,20.35,20.65,20.85,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
3,PLTR210115C00006000,2021-01-04 14:58:29,6.0,17.1,19.6,19.75,0.0,0.0,13.0,1,1.0000000000000003e-05,True,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
4,PLTR210115C00007000,2020-12-29 14:36:00,7.0,18.65,18.6,18.75,0.0,0.0,10.0,0,1.0000000000000003e-05,True,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
5,PLTR210115C00008000,2020-12-21 18:03:21,8.0,19.6,17.65,17.8,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
6,PLTR210115C00009000,2021-01-08 14:41:37,9.0,16.35,16.65,16.85,0.0,0.0,39.0,1,1.0000000000000003e-05,True,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
7,PLTR210115C00010000,2021-01-07 20:44:49,10.0,15.85,15.6,15.8,0.0,0.0,3.0,99,1.0000000000000003e-05,True,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
8,PLTR210115C00011000,2021-01-11 16:31:16,11.0,14.55,14.6,14.8,0.0,0.0,13.0,10,1.0000000000000003e-05,True,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
9,PLTR210115C00012000,2021-01-12 14:39:20,12.0,14.3,13.55,13.7,0.4499998,3.249096,2.0,17,1.0000000000000003e-05,True,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
10,PLTR210115C00013000,2021-01-11 18:40:35,13.0,13.0,12.6,12.8,0.0,0.0,30.0,42,1.0000000000000003e-05,True,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
11,PLTR210115C00014000,2021-01-11 18:41:58,14.0,12.1,11.65,11.8,0.0,0.0,18.0,132,1.0000000000000003e-05,True,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
12,PLTR210115C00015000,2021-01-11 18:41:58,15.0,10.8,10.55,10.7,0.0,0.0,94.0,454,1.0000000000000003e-05,True,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
13,PLTR210115C00016000,2021-01-12 14:30:04,16.0,10.25,9.65,9.8,0.5,5.1282053,7.0,293,1.0000000000000003e-05,True,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
14,PLTR210115C00017000,2021-01-12 14:38:12,17.0,9.25,8.55,8.7,0.3000002,3.3519576,10.0,515,1.0000000000000003e-05,True,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
15,PLTR210115C00018000,2021-01-12 14:38:28,18.0,8.3,7.75,7.9,0.3000002,3.7500024,9.0,1801,1.0000000000000003e-05,True,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
16,PLTR210115C00019000,2021-01-12 14:52:50,19.0,6.65,6.65,6.85,-0.099999905,-1.4814801,58.0,1205,1.0000000000000003e-05,True,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
17,PLTR210115C00019500,2021-01-12 14:34:46,19.5,6.4,6.05,6.2,0.4500003,7.5630307,20.0,49,1.0000000000000003e-05,True,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
18,PLTR210115C00020000,2021-01-12 14:51:23,20.0,5.75,5.55,5.7,0.099999905,1.7699097,17.0,7272,1.0000000000000003e-05,True,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
19,PLTR210115C00020500,2021-01-12 14:40:40,20.5,5.7,5.05,5.2,0.43999958,8.36501,8.0,133,1.0000000000000003e-05,True,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
20,PLTR210115C00021000,2021-01-12 14:41:13,21.0,5.1,4.65,4.85,0.26999998,5.5900617,36.0,2400,1.0000000000000003e-05,True,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
21,PLTR210115C00021500,2021-01-11 20:42:23,21.5,4.26,4.1,4.25,0.0,0.0,59.0,414,1.0000000000000003e-05,True,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
22,PLTR210115C00022000,2021-01-12 14:39:43,22.0,4.36,3.6,3.75,0.7600002,21.111118,5.0,2492,1.0000000000000003e-05,True,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
23,PLTR210115C00022500,2021-01-12 14:45:55,22.5,3.4,3.1,3.25,0.05000019,1.4925431,26.0,622,1.0000000000000003e-05,True,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
24,PLTR210115C00023000,2021-01-12 14:50:30,23.0,2.9,2.79,2.88,-0.12999988,-4.290425,38.0,9998,1.0000000000000003e-05,True,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
