,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,undPriceAsk,undPriceBid,undPriceMid,undPriceLondonTime,undPriceTimestamp
0,PLTR210115P00003000,2021-01-11 15:15:56,3.0,0.01,0.0,0.02,0.0,0.0,1,9,7.87500015625,False,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
1,PLTR210115P00004000,2020-12-22 16:57:10,4.0,0.03,0.0,0.02,0.0,0.0,4,804,6.87500140625,False,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
2,PLTR210115P00005000,2020-12-10 15:28:45,5.0,0.03,0.0,0.02,0.0,0.0,3,9,6.0000025,False,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
3,PLTR210115P00006000,2020-12-04 15:25:49,6.0,0.03,0.0,0.02,0.0,0.0,1,20,5.375003281249999,False,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
4,PLTR210115P00007000,2021-01-08 20:42:02,7.0,0.01,0.0,0.01,0.0,0.0,5,191,4.500004375,False,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
5,PLTR210115P00008000,2020-12-31 20:13:16,8.0,0.01,0.0,0.01,-0.01,-50.0,1,683,4.000005,False,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
6,PLTR210115P00009000,2020-12-31 17:09:04,9.0,0.01,0.0,0.03,0.0,0.0,1,689,4.12500484375,False,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
7,PLTR210115P00010000,2021-01-11 20:03:08,10.0,0.03,0.0,0.03,0.0,0.0,10,2458,3.6875007812500002,False,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
8,PLTR210115P00011000,2021-01-07 18:26:37,11.0,0.01,0.0,0.03,0.0,0.0,12,2386,3.3750015624999996,False,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
9,PLTR210115P00012000,2021-01-12 14:52:14,12.0,0.01,0.0,0.01,-0.01,-50.0,1,3697,2.68750328125,False,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
10,PLTR210115P00013000,2021-01-07 16:27:06,13.0,0.01,0.0,0.01,0.0,0.0,4,4376,2.3750040624999995,False,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
11,PLTR210115P00014000,2021-01-07 16:42:52,14.0,0.01,0.0,0.01,0.0,0.0,8,2428,2.1875045312499997,False,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
12,PLTR210115P00015000,2021-01-11 18:43:11,15.0,0.01,0.0,0.01,0.0,0.0,83,14581,1.9375003125,False,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
13,PLTR210115P00016000,2021-01-11 18:17:47,16.0,0.01,0.0,0.03,0.0,0.0,135,3786,1.96875015625,False,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
14,PLTR210115P00017000,2021-01-12 14:52:14,17.0,0.02,0.0,0.02,-0.01,-33.333336,4,8190,1.65625171875,False,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
15,PLTR210115P00018000,2021-01-11 19:40:07,18.0,0.01,0.01,0.03,0.0,0.0,359,16639,1.5937520312499998,False,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
16,PLTR210115P00019000,2021-01-11 20:46:26,19.0,0.02,0.02,0.03,0.0,0.0,261,2272,1.421877890625,False,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
17,PLTR210115P00019500,2021-01-11 14:38:18,19.5,0.04,0.0,0.04,0.0,0.0,3,364,1.2812535937499998,False,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
18,PLTR210115P00020000,2021-01-12 14:54:55,20.0,0.04,0.03,0.04,0.02,100.0,66,9846,1.2812535937499998,False,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
19,PLTR210115P00020500,2021-01-11 20:15:15,20.5,0.03,0.03,0.04,0.0,0.0,20,1284,1.171879140625,False,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
20,PLTR210115P00021000,2021-01-12 14:40:55,21.0,0.04,0.04,0.06,0.0,0.0,72,20247,1.1484417578125,False,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
21,PLTR210115P00021500,2021-01-12 14:30:04,21.5,0.04,0.04,0.05,-0.010000002,-20.000002,1,1722,1.015629921875,False,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
22,PLTR210115P00022000,2021-01-12 14:52:50,22.0,0.06,0.06,0.07,-0.010000002,-14.285716,57,11090,0.9804689453125001,False,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
23,PLTR210115P00022500,2021-01-12 14:54:41,22.5,0.09,0.07,0.08,0.0,0.0,18,2732,0.8984385156249999,False,REGULAR,USD,26.38,26.34,26.36,2021-01-12 12:38:56.218494,1610455136.218494
