,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,undPriceAsk,undPriceBid,undPriceMid,undPriceLondonTime,undPriceTimestamp
0,PLTR210129C00015000,13/01/2021 16:47,15,10.8,0,0,0,0,53,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
1,PLTR210129C00017000,11/01/2021 15:22,17,8.85,0,0,0,0,1,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
2,PLTR210129C00017500,08/01/2021 16:47,17.5,8.7,0,0,0,0,2,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
3,PLTR210129C00018500,13/01/2021 16:43,18.5,7.9,0,0,0,0,1,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
4,PLTR210129C00019000,13/01/2021 16:44,19,7.22,0,0,0,0,5,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
5,PLTR210129C00019500,13/01/2021 16:43,19.5,6.95,0,0,0,0,3,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
6,PLTR210129C00020000,13/01/2021 20:01,20,5.7,0,0,0,0,35,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
7,PLTR210129C00020500,13/01/2021 18:46,20.5,5,0,0,0,0,18,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
8,PLTR210129C00021000,13/01/2021 19:42,21,4.85,0,0,0,0,78,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
9,PLTR210129C00021500,13/01/2021 20:44,21.5,4.4,0,0,0,0,25,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
10,PLTR210129C00022000,13/01/2021 20:35,22,4.05,0,0,0,0,39,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
11,PLTR210129C00022500,13/01/2021 20:47,22.5,3.6,0,0,0,0,31,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
12,PLTR210129C00023000,13/01/2021 20:13,23,3.3,0,0,0,0,91,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
13,PLTR210129C00023500,13/01/2021 20:57,23.5,2.99,0,0,0,0,836,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
14,PLTR210129C00024000,13/01/2021 20:17,24,2.71,0,0,0,0,877,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
15,PLTR210129C00024500,13/01/2021 20:55,24.5,2.47,0,0,0,0,375,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
16,PLTR210129C00025000,13/01/2021 20:58,25,2.22,0,0,0,0,1293,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
17,PLTR210129C00025500,13/01/2021 20:56,25.5,2,0,0,0,0,871,0,0.000254138,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
18,PLTR210129C00026000,13/01/2021 20:57,26,1.82,0,0,0,0,3358,0,0.031259688,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
19,PLTR210129C00026500,13/01/2021 20:58,26.5,1.64,0,0,0,0,2337,0,0.062509375,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
20,PLTR210129C00027000,13/01/2021 20:57,27,1.48,0,0,0,0,3965,0,0.062509375,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
21,PLTR210129C00027500,13/01/2021 20:59,27.5,1.33,0,0,0,0,1520,0,0.12500875,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
22,PLTR210129C00028000,13/01/2021 20:59,28,1.21,0,0,0,0,5831,0,0.12500875,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
23,PLTR210129C00028500,13/01/2021 20:48,28.5,1.09,0,0,0,0,696,0,0.12500875,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
24,PLTR210129C00029000,13/01/2021 20:56,29,0.96,0,0,0,0,1773,0,0.12500875,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
25,PLTR210129C00029500,13/01/2021 20:31,29.5,0.87,0,0,0,0,229,0,0.12500875,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
26,PLTR210129C00030000,13/01/2021 20:59,30,0.81,0,0,0,0,13172,0,0.2500075,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
27,PLTR210129C00030500,13/01/2021 20:24,30.5,0.68,0,0,0,0,564,0,0.2500075,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
28,PLTR210129C00031000,13/01/2021 20:42,31,0.64,0,0,0,0,635,0,0.2500075,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
29,PLTR210129C00031500,13/01/2021 20:37,31.5,0.61,0,0,0,0,68,0,0.2500075,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
30,PLTR210129C00032000,13/01/2021 20:42,32,0.54,0,0,0,0,600,0,0.2500075,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
31,PLTR210129C00032500,13/01/2021 19:47,32.5,0.48,0,0,0,0,89,0,0.2500075,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
32,PLTR210129C00033000,13/01/2021 20:42,33,0.43,0,0,0,0,453,0,0.2500075,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
33,PLTR210129C00033500,13/01/2021 20:48,33.5,0.41,0,0,0,0,105,0,0.2500075,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
34,PLTR210129C00035000,13/01/2021 20:48,35,0.32,0,0,0,0,955,0,0.2500075,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
35,PLTR210129C00036000,13/01/2021 20:42,36,0.27,0,0,0,0,164,0,0.500005,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
36,PLTR210129C00040000,13/01/2021 20:57,40,0.15,0,0,0,0,1377,0,0.500005,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
