,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,undPriceAsk,undPriceBid,undPriceMid,undPriceLondonTime,undPriceTimestamp,mtime
0,PLTR210129C00015000,2021-01-26 20:46:43,15.0,20.75,20.15,21.2,0.0,0.0,18,16,5.12500359375,True,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
1,PLTR210129C00017000,2021-01-26 20:15:02,17.0,18.45,18.05,19.85,0.0,0.0,5,3,6.7382828271484385,True,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
2,PLTR210129C00017500,2021-01-26 15:27:03,17.5,18.01,17.6,19.45,0.0,0.0,2,0,6.757814052734375,True,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
3,PLTR210129C00018500,2021-01-26 18:52:29,18.5,16.55,16.6,18.3,0.0,0.0,1,3,5.98437751953125,True,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
4,PLTR210129C00019000,2021-01-25 20:55:08,19.0,13.5,16.4,18.0,-3.6000004,-21.052633,1,3,3.86718783203125,True,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
5,PLTR210129C00019500,2021-01-26 19:17:40,19.5,15.65,16.2,17.2,0.0,0.0,1,2,3.72656318359375,True,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
6,PLTR210129C00020000,2021-01-26 20:15:38,20.0,15.6,15.65,16.25,0.0,0.0,256,49,3.83593791015625,True,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
7,PLTR210129C00020500,2021-01-26 18:05:30,20.5,12.9,14.75,16.5,-1.8500004,-12.542376,1,67,2.9531276171874996,True,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
8,PLTR210129C00021000,2021-01-26 20:55:12,21.0,11.0,14.75,15.05,-3.33,-23.237963,1,107,1.0000000000000003e-05,True,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
9,PLTR210129C00021500,2021-01-26 19:07:57,21.5,13.52,13.65,15.4,0.0,0.0,1,88,5.070316162109375,True,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.806374
