,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,undPriceAsk,undPriceBid,undPriceMid,undPriceLondonTime,undPriceTimestamp,mtime
0,PLTR210129P00015000,2021-01-26 18:25:57,15.0,0.01,0.0,0.01,0.0,0.0,10,1585,3.3750015624999996,False,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.811215
1,PLTR210129P00017000,2021-01-25 15:58:12,17.0,0.01,0.0,0.11,0.0,0.0,3,191,3.93750015625,False,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.811215
2,PLTR210129P00017500,2021-01-25 14:50:57,17.5,0.01,0.0,0.04,0.0,0.0,25,116,3.3125017187499997,False,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.811215
3,PLTR210129P00018500,2021-01-26 18:25:57,18.5,0.03,0.0,0.01,0.0,0.0,10,584,2.6250034375,False,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.811215
4,PLTR210129P00019000,2021-01-26 19:13:09,19.0,0.14,0.0,0.01,0.13,1300.0,3,1404,2.50000375,False,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.811215
5,PLTR210129P00019500,2021-01-26 15:56:58,19.5,0.01,0.0,0.03,0.0,0.0,3,478,2.750003125,False,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.811215
6,PLTR210129P00020000,2021-01-26 20:53:11,20.0,0.01,0.01,0.0,0.0,0.0,1138,2687,2.3750040624999995,False,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.811215
7,PLTR210129P00020500,2021-01-27 15:16:42,20.5,0.02,0.01,0.03,0.01,100.0,9,1025,2.6562533593750004,False,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.811215
8,PLTR210129P00021000,2021-01-26 20:59:24,21.0,0.02,0.01,0.02,-0.01,-33.333336,13,2088,2.43750390625,False,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.811215
9,PLTR210129P00021500,2021-01-27 14:51:08,21.5,0.02,0.01,0.04,-0.01,-33.333336,1,2029,2.50000375,False,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.811215
10,PLTR210129P00022000,2021-01-27 15:15:06,22.0,0.02,0.01,0.03,0.0,0.0,41,2281,2.3437541406249993,False,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.811215
11,PLTR210129P00022500,2021-01-26 20:29:13,22.5,0.03,0.0,0.05,0.0,0.0,55,1664,2.3125042187499996,False,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.811215
12,PLTR210129P00023000,2021-01-27 14:55:44,23.0,0.04,0.02,0.04,-0.010000002,-20.000002,42,2821,2.281254296875,False,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.811215
13,PLTR210129P00023500,2021-01-27 15:07:10,23.5,0.04,0.02,0.04,-0.010000002,-20.000002,54,2626,2.1718795703125,False,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.811215
14,PLTR210129P00024000,2021-01-27 15:15:13,24.0,0.04,0.03,0.05,-0.030000001,-42.857143,79,6881,2.1718795703125,False,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.811215
15,PLTR210129P00024500,2021-01-27 15:16:53,24.5,0.07,0.04,0.07,0.0,0.0,117,6226,2.1718795703125,False,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.811215
16,PLTR210129P00025000,2021-01-27 15:16:54,25.0,0.06,0.05,0.06,-0.010000002,-14.285716,701,6681,2.0781298046874994,False,REGULAR,USD,0,0,0.0,2021-01-27 15:34:43.673333,1611761683.673333,1611761717.811215
