,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,undPriceAsk,undPriceBid,undPriceMid,undPriceLondonTime,undPriceTimestamp
0,PLTR210122C00014500,12/01/2021 18:38,14.5,11.55,0,0,0,0,3,3,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
1,PLTR210122C00015000,07/01/2021 16:55,15,11.12,0,0,0,0,9,33,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
2,PLTR210122C00015500,08/01/2021 17:04,15.5,10.35,0,0,0,0,1,1,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
3,PLTR210122C00016000,08/01/2021 14:32,16,9.3,0,0,0,0,11,6,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
4,PLTR210122C00016500,08/01/2021 14:58,16.5,9.5,0,0,0,0,1,7,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
5,PLTR210122C00017000,07/01/2021 20:55,17,7.9,0,0,0,0,19,0,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
6,PLTR210122C00017500,12/01/2021 14:30,17.5,8.8,0,0,0,0,2,8,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
7,PLTR210122C00018000,12/01/2021 14:36,18,7.95,0,0,0,0,1,29,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
8,PLTR210122C00018500,12/01/2021 15:42,18.5,7.5,0,0,0,0,2,4,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
9,PLTR210122C00019000,12/01/2021 17:18,19,6.8,0,0,0,0,3,61,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
10,PLTR210122C00019500,12/01/2021 19:37,19.5,6.5,0,0,0,0,8,78,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
11,PLTR210122C00020000,12/01/2021 17:34,20,5.9,0,0,0,0,8,194,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
12,PLTR210122C00020500,12/01/2021 19:39,20.5,5.45,0,0,0,0,1,45,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
13,PLTR210122C00021000,12/01/2021 16:53,21,5.1,0,0,0,0,13,381,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
14,PLTR210122C00021500,12/01/2021 20:30,21.5,4.55,0,0,0,0,9,123,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
15,PLTR210122C00022000,12/01/2021 20:57,22,4.25,0,0,0,0,37,459,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
16,PLTR210122C00022500,12/01/2021 19:39,22.5,3.65,0,0,0,0,32,133,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
17,PLTR210122C00023000,12/01/2021 20:54,23,3.35,0,0,0,0,42,266,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
18,PLTR210122C00023500,12/01/2021 20:59,23.5,2.96,0,0,0,0,82,380,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
19,PLTR210122C00024000,12/01/2021 20:59,24,2.65,0,0,0,0,393,1453,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
20,PLTR210122C00024500,12/01/2021 20:49,24.5,2.22,0,0,0,0,604,734,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
21,PLTR210122C00025000,12/01/2021 20:59,25,1.93,0,0,0,0,1373,2979,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
22,PLTR210122C00025500,12/01/2021 20:59,25.5,1.65,0,0,0,0,982,1227,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
23,PLTR210122C00026000,12/01/2021 20:59,26,1.42,0,0,0,0,3553,4391,1.00E-05,TRUE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
24,PLTR210122C00026500,12/01/2021 20:59,26.5,1.21,0,0,0,0,3998,3304,0.031259688,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
25,PLTR210122C00027000,12/01/2021 20:59,27,1.04,0,0,0,0,4231,7371,0.062509375,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
26,PLTR210122C00027500,12/01/2021 20:58,27.5,0.86,0,0,0,0,745,1944,0.062509375,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
27,PLTR210122C00028000,12/01/2021 20:59,28,0.75,0,0,0,0,3321,5670,0.12500875,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
28,PLTR210122C00028500,12/01/2021 20:57,28.5,0.64,0,0,0,0,2017,3874,0.12500875,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
29,PLTR210122C00030000,12/01/2021 20:59,30,0.39,0,0,0,0,6588,13824,0.2500075,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
30,PLTR210122C00031000,12/01/2021 20:57,31,0.3,0,0,0,0,825,1650,0.2500075,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
31,PLTR210122C00031500,12/01/2021 20:47,31.5,0.24,0,0,0,0,105,352,0.2500075,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
32,PLTR210122C00032000,12/01/2021 20:52,32,0.21,0,0,0,0,462,2107,0.2500075,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
33,PLTR210122C00032500,12/01/2021 20:49,32.5,0.17,0,0,0,0,484,454,0.2500075,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
34,PLTR210122C00033000,12/01/2021 20:58,33,0.16,0,0,0,0,211,1334,0.2500075,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
35,PLTR210122C00033500,12/01/2021 18:02,33.5,0.13,0,0,0,0,519,406,0.2500075,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
36,PLTR210122C00035000,12/01/2021 20:59,35,0.1,0,0,0,0,1363,2244,0.500005,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
37,PLTR210122C00036000,12/01/2021 20:45,36,0.06,0,0,0,0,19,199,0.500005,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
38,PLTR210122C00040000,12/01/2021 20:59,40,0.03,0,0,0,0,663,3291,0.500005,FALSE,REGULAR,USD,25.46,26.42,25.94,42:10.9,1610541731
