,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,undPriceAsk,undPriceBid,undPriceMid,undPriceLondonTime,undPriceTimestamp,mtime
0,PLTR210122C00014500,2021-01-15 14:44:54,14.5,12.19,10.9,11.35,1.6899996,16.095234,6,2.0,3.2421893945312497,True,REGULAR,USD,25.92,25.75,25.835,2021-01-18 13:08:45.729126,1610975325.729126,1610975355.379924
1,PLTR210122C00015000,2021-01-15 16:00:29,15.0,11.65,10.4,10.85,1.6999998,17.085426,13,36.0,3.0781273046874995,True,REGULAR,USD,25.92,25.75,25.835,2021-01-18 13:08:45.729126,1610975325.729126,1610975355.379924
2,PLTR210122C00015500,2021-01-14 14:33:52,15.5,9.95,9.9,10.35,0.0,0.0,1,2.0,2.9218776953125003,True,REGULAR,USD,25.92,25.75,25.835,2021-01-18 13:08:45.729126,1610975325.729126,1610975355.379924
3,PLTR210122C00016000,2021-01-15 15:08:19,16.0,10.85,9.4,9.9,1.5500002,16.666668,10,6.0,1.65625171875,True,REGULAR,USD,25.92,25.75,25.835,2021-01-18 13:08:45.729126,1610975325.729126,1610975355.379924
4,PLTR210122C00016500,2021-01-14 14:38:11,16.5,8.35,8.9,9.4,0.0,0.0,3,9.0,1.5625021874999998,True,REGULAR,USD,25.92,25.75,25.835,2021-01-18 13:08:45.729126,1610975325.729126,1610975355.379924
5,PLTR210122C00017000,2021-01-13 19:57:12,17.0,8.45,8.4,8.9,0.0,0.0,82,77.0,1.46875265625,True,REGULAR,USD,25.92,25.75,25.835,2021-01-18 13:08:45.729126,1610975325.729126,1610975355.379924
6,PLTR210122C00017500,2021-01-15 20:54:52,17.5,8.0,7.9,8.4,0.5,6.666667,23,19.0,1.3750031249999999,True,REGULAR,USD,25.92,25.75,25.835,2021-01-18 13:08:45.729126,1610975325.729126,1610975355.379924
7,PLTR210122C00018000,2021-01-15 16:57:04,18.0,8.95,7.4,7.9,2.0,28.77698,30,37.0,1.2812535937499998,True,REGULAR,USD,25.92,25.75,25.835,2021-01-18 13:08:45.729126,1610975325.729126,1610975355.379924
8,PLTR210122C00018500,2021-01-15 18:45:09,18.5,8.05,6.9,7.4,1.6000004,24.80621,63,51.0,1.1875040625,True,REGULAR,USD,25.92,25.75,25.835,2021-01-18 13:08:45.729126,1610975325.729126,1610975355.379924
9,PLTR210122C00019000,2021-01-15 15:42:24,19.0,8.15,6.4,6.85,2.0999994,34.71073,19,75.0,1.9218753906250001,True,REGULAR,USD,25.92,25.75,25.835,2021-01-18 13:08:45.729126,1610975325.729126,1610975355.379924
10,PLTR210122C00019500,2021-01-15 19:13:13,19.5,7.3,5.9,6.4,1.3000002,21.66667,30,82.0,1.0312548437500002,True,REGULAR,USD,25.92,25.75,25.835,2021-01-18 13:08:45.729126,1610975325.729126,1610975355.379924
11,PLTR210122C00020000,2021-01-15 20:54:57,20.0,5.52,5.45,5.85,0.52,10.4,264,261.0,0.937500625,True,REGULAR,USD,25.92,25.75,25.835,2021-01-18 13:08:45.729126,1610975325.729126,1610975355.379924
12,PLTR210122C00020500,2021-01-15 19:23:48,20.5,6.25,5.0,5.4,1.8499999,42.04545,58,121.0,1.140629296875,True,REGULAR,USD,25.92,25.75,25.835,2021-01-18 13:08:45.729126,1610975325.729126,1610975355.379924
13,PLTR210122C00021000,2021-01-15 20:27:02,21.0,4.85,4.45,4.9,0.8499999,21.249998,54,393.0,0.937500625,True,REGULAR,USD,25.92,25.75,25.835,2021-01-18 13:08:45.729126,1610975325.729126,1610975355.379924
14,PLTR210122C00021500,2021-01-15 20:28:42,21.5,4.25,3.95,4.4,0.45000005,11.842107,31,136.0,0.8437515624999999,True,REGULAR,USD,25.92,25.75,25.835,2021-01-18 13:08:45.729126,1610975325.729126,1610975355.379924
15,PLTR210122C00022000,2021-01-15 20:41:11,22.0,3.8,3.45,3.9,0.68000007,21.794874,254,392.0,0.7500025,True,REGULAR,USD,25.92,25.75,25.835,2021-01-18 13:08:45.729126,1610975325.729126,1610975355.379924
16,PLTR210122C00022500,2021-01-15 20:59:47,22.5,3.05,3.0,3.45,0.46000004,17.76062,242,159.0,0.804689453125,True,REGULAR,USD,25.92,25.75,25.835,2021-01-18 13:08:45.729126,1610975325.729126,1610975355.379924
17,PLTR210122C00023000,2021-01-15 20:56:05,23.0,2.69,2.58,2.95,0.33000016,13.983059,667,611.0,0.7773459765625,True,REGULAR,USD,25.92,25.75,25.835,2021-01-18 13:08:45.729126,1610975325.729126,1610975355.379924
18,PLTR210122C00023500,2021-01-15 20:58:53,23.5,2.21,2.17,2.62,0.2800001,14.507776,367,447.0,0.8476577734374999,True,REGULAR,USD,25.92,25.75,25.835,2021-01-18 13:08:45.729126,1610975325.729126,1610975355.379924
19,PLTR210122C00024000,2021-01-15 20:59:15,24.0,1.88,1.81,2.04,0.25,15.337424,930,1721.0,0.7500025,True,REGULAR,USD,25.92,25.75,25.835,2021-01-18 13:08:45.729126,1610975325.729126,1610975355.379924
