date_strike,df,df1
2021-01-15 20.0,5142,
2021-01-15 23.0,9479,
2021-01-15 24.0,6074,
2021-01-15 25.5,6243,
2021-01-15 26.5,9157,
2021-01-15 27.5,9637,
2021-01-15 28.5,5752,
2021-01-15 29.5,3392,
2021-01-15 30.0,76922,
2021-01-15 32.0,5495,
2021-01-15 33.0,6231,
2021-01-15 34.0,11008,
2021-01-15 36.0,3128,
2021-01-15 50.0,13216,
2021-01-22 25.0,4076,4076.0
2021-01-22 25.5,2256,2256.0
2021-01-22 26.0,6494,6494.0
2021-01-22 26.5,4431,4431.0
2021-01-22 27.0,,10450.0
2021-01-22 27.5,2807,2807.0
2021-01-22 28.0,,7906.0
2021-01-22 28.5,,3920.0
2021-01-22 30.0,16594,16594.0
2021-01-22 32.0,,2295.0
2021-01-22 33.0,1674,
2021-01-22 35.0,2390,2390.0
2021-01-22 40.0,5836,5836.0
2021-01-29 20.5,752,
2021-01-29 23.5,2163,2163.0
2021-01-29 24.0,2656,2656.0
2021-01-29 25.0,,3693.0
2021-01-29 25.5,1514,
2021-01-29 26.0,,4427.0
2021-01-29 26.5,3324,3324.0
2021-01-29 27.0,,3924.0
2021-01-29 27.5,2244,2244.0
2021-01-29 28.0,,6095.0
2021-01-29 28.5,1342,
2021-01-29 29.0,,4362.0
2021-01-29 30.0,,13497.0
2021-01-29 32.0,1201,
2021-01-29 33.0,817,
2021-01-29 33.5,1183,
2021-01-29 35.0,3884,3884.0
2021-01-29 40.0,4840,4840.0
2021-02-05 25.0,,1259.0
2021-02-05 25.5,991,991.0
2021-02-05 26.0,1809,1809.0
2021-02-05 26.5,935,935.0
2021-02-05 27.0,1599,1599.0
2021-02-05 28.0,828,828.0
2021-02-05 28.5,,967.0
2021-02-05 29.0,885,885.0
2021-02-05 30.0,7827,7827.0
2021-02-05 31.0,580,
2021-02-05 35.0,1313,1313.0
2021-02-05 36.0,773,773.0
2021-02-05 40.0,848,848.0
2021-02-12 23.5,122,
2021-02-12 24.0,236,
2021-02-12 25.0,,935.0
2021-02-12 26.0,,616.0
2021-02-12 26.5,,620.0
2021-02-12 27.0,,368.0
2021-02-12 28.0,,400.0
2021-02-12 29.0,270,270.0
2021-02-12 30.0,,2073.0
2021-02-12 31.0,197,
2021-02-12 32.0,,302.0
2021-02-12 32.5,,269.0
2021-02-19 15.0,12514,12514.0
2021-02-19 17.5,9153,9153.0
2021-02-19 20.0,7486,7486.0
2021-02-19 22.0,5793,
2021-02-19 25.0,18941,18941.0
2021-02-19 26.0,8516,8516.0
2021-02-19 27.0,,33786.0
2021-02-19 28.0,,6017.0
2021-02-19 29.0,3994,
2021-02-19 30.0,,38639.0
2021-02-19 31.0,,6271.0
2021-02-19 33.0,6103,6103.0
2021-02-19 35.0,45276,45276.0
2021-02-19 38.0,4272,
2021-02-19 40.0,9562,9562.0
2021-02-19 50.0,12212,12212.0
2021-03-19 18.0,4220,
2021-03-19 25.0,,10947.0
2021-03-19 26.0,35429,35429.0
2021-03-19 28.0,11312,11312.0
2021-03-19 30.0,24044,24044.0
2021-03-19 32.0,,24006.0
2021-03-19 34.0,4159,
2021-03-19 35.0,32301,32301.0
2021-03-19 40.0,28727,28727.0
2021-03-19 50.0,,7924.0
2021-05-21 10.0,,3367.0
2021-05-21 11.0,,3122.0
2021-05-21 12.5,4049,4049.0
2021-05-21 14.0,2080,
2021-05-21 15.0,7274,7274.0
2021-05-21 16.0,,5885.0
2021-05-21 17.5,3450,3450.0
2021-05-21 20.0,,6479.0
2021-05-21 24.0,2112,
2021-05-21 25.0,,4997.0
2021-05-21 26.0,,3762.0
2021-05-21 28.0,,3233.0
2021-05-21 30.0,15855,15855.0
2021-05-21 33.0,,3518.0
2021-05-21 35.0,9410,9410.0
2021-05-21 40.0,20198,20198.0
2021-05-21 45.0,1838,
2021-05-21 50.0,,8863.0
2021-08-20 24.0,380,380.0
2021-08-20 25.0,,607.0
2021-08-20 26.0,643,643.0
2021-08-20 27.0,481,481.0
2021-08-20 30.0,966,966.0
2021-08-20 35.0,,483.0
2021-08-20 40.0,1862,1862.0
2021-11-19 15.0,,3642.0
2021-11-19 20.0,3753,3753.0
2021-11-19 22.0,1439,
2021-11-19 25.0,,2824.0
2021-11-19 30.0,5396,5396.0
2021-11-19 35.0,1627,
2021-11-19 37.0,1228,
2021-11-19 40.0,,3638.0
2021-11-19 42.0,1332,
2021-11-19 45.0,2892,2892.0
2022-01-21 10.0,4486,
2022-01-21 15.0,5968,5968.0
2022-01-21 20.0,,11977.0
2022-01-21 25.0,,9364.0
2022-01-21 27.0,,6038.0
2022-01-21 30.0,19532,19532.0
2022-01-21 35.0,5993,5993.0
2022-01-21 40.0,15215,15215.0
2022-01-21 50.0,22963,22963.0
2023-01-20 10.0,6004,6004.0
2023-01-20 15.0,3423,
2023-01-20 17.5,2880,
2023-01-20 20.0,,7722.0
2023-01-20 22.0,2249,
2023-01-20 25.0,3682,3682.0
2023-01-20 30.0,14230,14230.0
2023-01-20 40.0,4453,4453.0
2023-01-20 50.0,,7954.0
