,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,undPriceAsk,undPriceBid,undPriceMid,undPriceLondonTime,undPriceTimestamp,mtime
0,PLTR210115P00003000,2021-01-11 15:15:56,3.0,0.01,0.0,0.0,0.0,0.0,3,0,0.500005,False,REGULAR,USD,26.31,26.25,26.28,2021-01-15 11:51:03.797267,1610711463.797267,1610711812.539547
1,PLTR210115P00004000,2020-12-22 16:57:10,4.0,0.03,0.0,0.0,0.0,0.0,4,0,0.500005,False,REGULAR,USD,26.31,26.25,26.28,2021-01-15 11:51:03.797267,1610711463.797267,1610711812.539547
2,PLTR210115P00005000,2020-12-10 15:28:45,5.0,0.03,0.0,0.02,0.0,0.0,3,9,11.75000265625,False,REGULAR,USD,26.31,26.25,26.28,2021-01-15 11:51:03.797267,1610711463.797267,1610711812.539547
3,PLTR210115P00006000,2020-12-04 15:25:49,6.0,0.03,0.0,0.02,0.0,0.0,1,20,10.500003437500002,False,REGULAR,USD,26.31,26.25,26.28,2021-01-15 11:51:03.797267,1610711463.797267,1610711812.539547
4,PLTR210115P00007000,2021-01-08 20:42:02,7.0,0.01,0.0,0.0,0.0,0.0,5,0,0.500005,False,REGULAR,USD,26.31,26.25,26.28,2021-01-15 11:51:03.797267,1610711463.797267,1610711812.539547
5,PLTR210115P00008000,2020-12-31 20:13:16,8.0,0.01,0.0,0.0,0.0,0.0,1,682,0.500005,False,REGULAR,USD,26.31,26.25,26.28,2021-01-15 11:51:03.797267,1610711463.797267,1610711812.539547
6,PLTR210115P00009000,2020-12-31 17:09:04,9.0,0.01,0.0,0.0,0.0,0.0,1,689,0.500005,False,REGULAR,USD,26.31,26.25,26.28,2021-01-15 11:51:03.797267,1610711463.797267,1610711812.539547
7,PLTR210115P00010000,2021-01-12 20:44:36,10.0,0.01,0.0,0.0,0.0,0.0,5,2452,0.500005,False,REGULAR,USD,26.31,26.25,26.28,2021-01-15 11:51:03.797267,1610711463.797267,1610711812.539547
8,PLTR210115P00011000,2021-01-07 18:26:37,11.0,0.01,0.0,0.0,0.0,0.0,12,2386,0.500005,False,REGULAR,USD,26.31,26.25,26.28,2021-01-15 11:51:03.797267,1610711463.797267,1610711812.539547
9,PLTR210115P00012000,2021-01-13 20:44:33,12.0,0.01,0.0,0.0,0.0,0.0,2,3692,0.500005,False,REGULAR,USD,26.31,26.25,26.28,2021-01-15 11:51:03.797267,1610711463.797267,1610711812.539547
