,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,undPriceAsk,undPriceBid,undPriceMid,undPriceLondonTime,undPriceTimestamp,mtime
0,PLTR210129P00015000,2021-01-22 20:58:08,15.0,0.01,0.0,0.0,0.0,0.0,108,736,0.500005,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
1,PLTR210129P00017000,2021-01-22 20:56:53,17.0,0.01,0.0,0.0,0.0,0.0,60,193,0.500005,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
2,PLTR210129P00017500,2021-01-22 20:29:12,17.5,0.01,0.0,0.0,0.0,0.0,76,91,0.500005,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
3,PLTR210129P00018500,2021-01-22 20:45:17,18.5,0.01,0.0,0.0,0.0,0.0,284,595,0.500005,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
4,PLTR210129P00019000,2021-01-22 20:42:52,19.0,0.02,0.0,0.0,0.0,0.0,172,1287,0.500005,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
5,PLTR210129P00019500,2021-01-22 20:18:33,19.5,0.02,0.0,0.0,0.0,0.0,28,427,0.500005,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
6,PLTR210129P00020000,2021-01-22 20:58:06,20.0,0.03,0.0,0.0,0.0,0.0,1946,1864,0.500005,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
7,PLTR210129P00020500,2021-01-22 20:19:50,20.5,0.04,0.0,0.0,0.0,0.0,124,423,0.500005,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
8,PLTR210129P00021000,2021-01-22 20:51:04,21.0,0.02,0.0,0.0,0.0,0.0,1026,2176,0.500005,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
9,PLTR210129P00021500,2021-01-22 20:38:15,21.5,0.03,0.0,0.0,0.0,0.0,221,916,0.500005,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
10,PLTR210129P00022000,2021-01-22 20:56:53,22.0,0.07,0.0,0.0,0.0,0.0,1184,2032,0.500005,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
11,PLTR210129P00022500,2021-01-22 20:59:40,22.5,0.06,0.0,0.0,0.0,0.0,1318,1670,0.500005,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
12,PLTR210129P00023000,2021-01-22 20:58:59,23.0,0.06,0.0,0.0,0.0,0.0,1532,2717,0.500005,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
13,PLTR210129P00023500,2021-01-22 20:55:24,23.5,0.06,0.0,0.0,0.0,0.0,2238,3023,0.500005,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
14,PLTR210129P00024000,2021-01-22 20:59:04,24.0,0.08,0.0,0.0,0.0,0.0,4254,7179,0.500005,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
15,PLTR210129P00024500,2021-01-22 20:59:58,24.5,0.1,0.0,0.0,0.0,0.0,3582,6557,0.500005,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
16,PLTR210129P00025000,2021-01-22 20:59:51,25.0,0.1,0.0,0.0,0.0,0.0,8856,7062,0.500005,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
17,PLTR210129P00025500,2021-01-22 20:59:35,25.5,0.15,0.0,0.0,0.0,0.0,6107,2979,0.500005,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
18,PLTR210129P00026000,2021-01-22 20:59:35,26.0,0.18,0.0,0.0,0.0,0.0,7715,6173,0.500005,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
19,PLTR210129P00026500,2021-01-22 20:59:54,26.5,0.23,0.0,0.0,0.0,0.0,4976,1961,0.500005,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
20,PLTR210129P00027000,2021-01-22 21:00:00,27.0,0.29,0.0,0.0,0.0,0.0,8618,3355,0.500005,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
21,PLTR210129P00027500,2021-01-22 20:59:25,27.5,0.39,0.0,0.0,0.0,0.0,3982,1880,0.500005,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
22,PLTR210129P00028000,2021-01-22 21:00:00,28.0,0.46,0.0,0.0,0.0,0.0,10318,4493,0.2500075,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
23,PLTR210129P00028500,2021-01-22 20:59:52,28.5,0.61,0.0,0.0,0.0,0.0,9230,2603,0.2500075,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
24,PLTR210129P00029000,2021-01-22 21:00:00,29.0,0.73,0.0,0.0,0.0,0.0,5084,2547,0.2500075,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
25,PLTR210129P00029500,2021-01-22 20:59:48,29.5,0.9,0.0,0.0,0.0,0.0,2477,1160,0.2500075,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
26,PLTR210129P00030000,2021-01-22 21:00:00,30.0,1.07,0.0,0.0,0.0,0.0,14978,8377,0.2500075,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
27,PLTR210129P00030500,2021-01-22 21:00:00,30.5,1.25,0.0,0.0,0.0,0.0,3229,1046,0.12500875,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
28,PLTR210129P00031000,2021-01-22 21:00:00,31.0,1.48,0.0,0.0,0.0,0.0,4464,1492,0.12500875,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
29,PLTR210129P00031500,2021-01-22 21:00:00,31.5,1.72,0.0,0.0,0.0,0.0,2589,1369,0.062509375,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
30,PLTR210129P00032000,2021-01-22 20:59:59,32.0,2.01,0.0,0.0,0.0,0.0,2789,1311,0.062509375,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
31,PLTR210129P00032500,2021-01-22 21:00:00,32.5,2.3,0.0,0.0,0.0,0.0,1411,531,0.007822421875,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
32,PLTR210129P00033000,2021-01-22 20:59:51,33.0,2.65,0.0,0.0,0.0,0.0,1452,562,1.0000000000000003e-05,True,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
33,PLTR210129P00033500,2021-01-22 21:00:00,33.5,2.9,0.0,0.0,0.0,0.0,315,170,1.0000000000000003e-05,True,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
34,PLTR210129P00035000,2021-01-22 21:00:00,35.0,3.93,0.0,0.0,0.0,0.0,679,490,1.0000000000000003e-05,True,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
35,PLTR210129P00036000,2021-01-22 20:58:00,36.0,4.8,0.0,0.0,0.0,0.0,782,563,1.0000000000000003e-05,True,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
36,PLTR210129P00037000,2021-01-22 20:57:27,37.0,5.6,0.0,0.0,0.0,0.0,241,168,1.0000000000000003e-05,True,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
37,PLTR210129P00038000,2021-01-22 20:53:16,38.0,6.4,0.0,0.0,0.0,0.0,75,48,1.0000000000000003e-05,True,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
38,PLTR210129P00039000,2021-01-22 20:33:08,39.0,7.55,0.0,0.0,0.0,0.0,21,9,1.0000000000000003e-05,True,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
39,PLTR210129P00040000,2021-01-22 21:00:00,40.0,8.04,0.0,0.0,0.0,0.0,467,401,1.0000000000000003e-05,True,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
40,PLTR210205P00015000,2021-01-22 17:45:21,15.0,0.03,0.0,0.0,0.0,0.0,11,128,0.500005,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
41,PLTR210205P00017000,2021-01-22 17:05:00,17.0,0.04,0.0,0.0,0.0,0.0,3,54,0.500005,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
42,PLTR210205P00017500,2021-01-22 20:53:15,17.5,0.05,0.0,0.0,0.0,0.0,23,134,0.500005,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
43,PLTR210205P00018500,2021-01-22 20:51:02,18.5,0.03,0.0,0.0,0.0,0.0,52,160,0.500005,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
44,PLTR210205P00019000,2021-01-22 20:50:31,19.0,0.06,0.0,0.0,0.0,0.0,81,618,0.500005,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
45,PLTR210205P00020000,2021-01-22 20:59:42,20.0,0.09,0.0,0.0,0.0,0.0,899,1559,0.500005,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
46,PLTR210205P00021000,2021-01-22 20:51:20,21.0,0.1,0.0,0.0,0.0,0.0,631,994,0.500005,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
47,PLTR210205P00022000,2021-01-22 20:53:04,22.0,0.13,0.0,0.0,0.0,0.0,1025,1030,0.500005,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
48,PLTR210205P00022500,2021-01-22 20:59:35,22.5,0.16,0.0,0.0,0.0,0.0,708,797,0.500005,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
49,PLTR210205P00023000,2021-01-22 20:57:51,23.0,0.19,0.0,0.0,0.0,0.0,736,2137,0.500005,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
50,PLTR210205P00023500,2021-01-22 20:58:52,23.5,0.22,0.0,0.0,0.0,0.0,359,535,0.500005,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
51,PLTR210205P00024000,2021-01-22 20:59:51,24.0,0.25,0.0,0.0,0.0,0.0,897,1044,0.500005,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
52,PLTR210205P00024500,2021-01-22 20:53:33,24.5,0.3,0.0,0.0,0.0,0.0,200,945,0.500005,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
53,PLTR210205P00025000,2021-01-22 21:00:00,25.0,0.37,0.0,0.0,0.0,0.0,2523,2315,0.2500075,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
54,PLTR210205P00025500,2021-01-22 20:57:41,25.5,0.45,0.0,0.0,0.0,0.0,392,347,0.2500075,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
55,PLTR210205P00026000,2021-01-22 20:59:33,26.0,0.53,0.0,0.0,0.0,0.0,786,767,0.2500075,False,REGULAR,USD,34.8,34.3,34.55,2021-01-25 13:37:57.230536,1611581877.230536,1611581905.019986
