,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,SPX210219P03770000,,3770.0,75.0,73.3,74.2,,,,,,True,REGULAR,USD
1,SPX210219P03775000,,3775.0,77.2,75.0,75.9,,,,,,True,REGULAR,USD
2,SPX210219P03780000,,3780.0,81.1,76.7,77.6,,,,,,True,REGULAR,USD
3,SPX210219P03785000,,3785.0,94.1,78.4,79.4,,,,,,True,REGULAR,USD
4,SPX210219P03790000,,3790.0,73.5,80.3,81.2,,,,,,True,REGULAR,USD
5,SPX210219P03795000,,3795.0,98.8,82.1,83.1,,,,,,True,REGULAR,USD
6,SPX210219P03800000,,3800.0,87.7,83.8,85.0,,,,,,True,REGULAR,USD
7,SPX210219P03805000,,3805.0,91.7,85.7,87.0,,,,,,True,REGULAR,USD
8,SPX210219P03810000,,3810.0,79.0,87.7,89.0,,,,,,True,REGULAR,USD
9,SPX210219P03815000,,3815.0,83.0,89.8,91.1,,,,,,True,REGULAR,USD
10,SPX210319P03770000,,3770.0,135.0,120.1,121.0,,,,,,True,REGULAR,USD
11,SPX210319P03775000,,3775.0,116.2,121.8,122.8,,,,,,True,REGULAR,USD
12,SPX210319P03780000,,3780.0,,123.4,124.2,,,,,,True,REGULAR,USD
13,SPX210319P03785000,,3785.0,,125.2,126.0,,,,,,True,REGULAR,USD
14,SPX210319P03790000,,3790.0,130.7,127.2,128.2,,,,,,True,REGULAR,USD
15,SPX210319P03795000,,3795.0,126.4,129.1,130.1,,,,,,True,REGULAR,USD
16,SPX210319P03800000,,3800.0,127.5,131.0,132.0,,,,,,True,REGULAR,USD
17,SPX210319P03805000,,3805.0,,132.5,133.5,,,,,,True,REGULAR,USD
18,SPX210319P03810000,,3810.0,,134.5,135.4,,,,,,True,REGULAR,USD
19,SPX210319P03815000,,3815.0,,136.5,137.4,,,,,,True,REGULAR,USD
20,SPX210416P03770000,,3770.0,,154.9,156.0,,,,,,True,REGULAR,USD
21,SPX210416P03775000,,3775.0,,156.7,157.8,,,,,,True,REGULAR,USD
22,SPX210416P03780000,,3780.0,,158.5,159.6,,,,,,True,REGULAR,USD
23,SPX210416P03790000,,3790.0,157.9,162.2,163.4,,,,,,True,REGULAR,USD
24,SPX210416P03800000,,3800.0,,165.7,166.9,,,,,,True,REGULAR,USD
25,SPX210416P03810000,,3810.0,,169.4,170.8,,,,,,True,REGULAR,USD
26,SPX210219C03770000,,3770.0,93.4,93.8,94.7,,,,,,True,REGULAR,USD
27,SPX210219C03775000,,3775.0,85.0,90.5,91.4,,,,,,True,REGULAR,USD
28,SPX210219C03780000,,3780.0,86.9,87.2,88.1,,,,,,True,REGULAR,USD
29,SPX210219C03785000,,3785.0,83.5,84.0,84.8,,,,,,True,REGULAR,USD
30,SPX210219C03790000,,3790.0,78.9,80.8,81.6,,,,,,True,REGULAR,USD
31,SPX210219C03795000,,3795.0,79.3,77.8,78.5,,,,,,True,REGULAR,USD
32,SPX210219C03800000,,3800.0,76.5,74.7,75.4,,,,,,True,REGULAR,USD
33,SPX210219C03805000,,3805.0,72.0,71.7,72.3,,,,,,True,REGULAR,USD
34,SPX210219C03810000,,3810.0,70.6,68.7,69.3,,,,,,True,REGULAR,USD
35,SPX210219C03815000,,3815.0,,65.8,66.5,,,,,,True,REGULAR,USD
36,SPX210319C03770000,,3770.0,,136.8,137.7,,,,,,True,REGULAR,USD
37,SPX210319C03775000,,3775.0,152.5,133.4,134.3,,,,,,True,REGULAR,USD
38,SPX210319C03780000,,3780.0,,130.3,131.2,,,,,,True,REGULAR,USD
39,SPX210319C03785000,,3785.0,,127.1,128.0,,,,,,True,REGULAR,USD
40,SPX210319C03790000,,3790.0,,124.0,124.8,,,,,,True,REGULAR,USD
41,SPX210319C03795000,,3795.0,,120.8,121.7,,,,,,True,REGULAR,USD
42,SPX210319C03800000,,3800.0,112.1,117.6,118.5,,,,,,True,REGULAR,USD
43,SPX210319C03805000,,3805.0,112.9,114.6,115.4,,,,,,True,REGULAR,USD
44,SPX210319C03810000,,3810.0,,111.6,112.4,,,,,,True,REGULAR,USD
45,SPX210319C03815000,,3815.0,,108.6,109.4,,,,,,True,REGULAR,USD
46,SPX210416C03770000,,3770.0,,169.5,170.4,,,,,,True,REGULAR,USD
47,SPX210416C03775000,,3775.0,,166.2,167.2,,,,,,True,REGULAR,USD
48,SPX210416C03780000,,3780.0,160.6,162.9,163.9,,,,,,True,REGULAR,USD
49,SPX210416C03790000,,3790.0,,156.6,157.6,,,,,,True,REGULAR,USD
50,SPX210416C03800000,,3800.0,,150.4,151.3,,,,,,True,REGULAR,USD
51,SPX210416C03810000,,3810.0,,144.2,145.1,,,,,,True,REGULAR,USD
